task_id,task_name,task_level,task_status,duration_days,start_date,end_date,dependencies,owner,resources,percent_complete,notes,priority,milestone
1,Website Redesign Project,project,in_progress,126,2025-01-06,2025-06-30,,Alice Chen,"Alice Chen,Bob Lee,Carol Wu,David Kim,Emma Singh",42,"Executive-sponsored redesign of the public marketing site.",critical,false
1.1,Discovery,group1,completed,30,2025-01-06,2025-02-14,,Alice Chen,"Alice Chen,Bob Lee,Carol Wu,Emma Singh",100,"Discovery phase closed with approved scope.",high,false
1.1.1,Research Planning,group2,completed,18,2025-01-06,2025-01-30,,Alice Chen,"Alice Chen,Bob Lee",100,,medium,false
1.1.1.1,Stakeholder interviews,task,completed,10,2025-01-06,2025-01-17,,Alice Chen,"Alice Chen,Bob Lee",100,"Interviewed sales, support, and leadership stakeholders.",medium,false
1.1.1.2,Analytics audit,task,completed,8,2025-01-20,2025-01-29,1.1.1.1,Bob Lee,"Bob Lee",100,"Captured funnel drop-off and content engagement baselines.",low,false
1.1.1.3,Research synthesis,task,completed,1,2025-01-30,2025-01-30,1.1.1.2,Alice Chen,"Alice Chen,Carol Wu",100,"Summarised top visitor needs and redesign risks.",medium,false
1.1.2,Requirements Definition,group2,completed,11,2025-01-31,2025-02-14,1.1.1.3,Alice Chen,"Alice Chen,Carol Wu,Emma Singh",100,,medium,false
1.1.2.1,User journey mapping,task,completed,7,2025-01-31,2025-02-10,1.1.1.3,Carol Wu,"Carol Wu",100,"Mapped acquisition, pricing, and support journeys.",medium,false
1.1.2.2,Content inventory,task,completed,8,2025-02-03,2025-02-12,1.1.1.2,Emma Singh,"Emma Singh",100,"Flagged stale pages and migration owners.",low,false
1.1.2.3,Discovery signoff,task,completed,2,2025-02-13,2025-02-14,"1.1.2.1,1.1.2.2",Alice Chen,"Alice Chen",100,"Milestone: discovery scope and success metrics approved.",high,true
1.2,Design,group1,in_progress,44,2025-02-17,2025-04-17,1.1.2.3,Carol Wu,"Alice Chen,Bob Lee,Carol Wu,David Kim,Emma Singh",60,"Design track is progressing with final approvals pending.",high,false
1.2.1,Experience Design,group2,in_progress,27,2025-02-17,2025-03-25,1.1.2.3,Carol Wu,"Carol Wu,Bob Lee,Emma Singh",65,,medium,false
1.2.1.1,Information architecture,task,completed,8,2025-02-17,2025-02-26,1.1.2.3,Carol Wu,"Carol Wu",100,"Navigation model approved after two review rounds.",medium,false
1.2.1.2,Wireframe prototypes,task,in_progress,12,2025-02-27,2025-03-14,1.2.1.1,Bob Lee,"Bob Lee,Carol Wu",70,"Homepage and product pages are ready for user testing.",high,false
1.2.1.3,Usability testing,task,in_progress,7,2025-03-17,2025-03-25,1.2.1.2,Emma Singh,"Emma Singh",40,"Recruiting remaining test participants.",low,false
1.2.2,Visual Design,group2,in_progress,29,2025-03-10,2025-04-17,1.2.1.1,Carol Wu,"Carol Wu,David Kim",55,,high,false
1.2.2.1,Design system refresh,task,in_progress,12,2025-03-10,2025-03-25,1.2.1.1,Carol Wu,"Carol Wu",65,"Token cleanup and component states in progress.",medium,false
1.2.2.2,High fidelity screens,task,in_progress,15,2025-03-26,2025-04-15,"1.2.1.2,1.2.2.1",David Kim,"David Kim,Carol Wu",55,"Desktop core screens complete; mobile pass remains.",high,false
1.2.2.3,Design approval,task,in_progress,2,2025-04-16,2025-04-17,1.2.2.2,Alice Chen,"Alice Chen,Carol Wu",10,"Milestone: final creative approval before build.",medium,true
1.3,Development,group1,not_started,51,2025-04-21,2025-06-30,1.2.2.3,David Kim,"Bob Lee,David Kim,Emma Singh,Alice Chen",0,"Development begins after design approval.",medium,false
1.3.1,Frontend Build,group2,not_started,32,2025-04-21,2025-06-03,1.2.2.3,David Kim,"David Kim,Emma Singh",0,,medium,false
1.3.1.1,Component architecture,task,not_started,8,2025-04-21,2025-04-30,1.2.2.3,David Kim,"David Kim",0,"Set up layout primitives and shared UI components.",low,false
1.3.1.2,Page template build,task,not_started,18,2025-05-01,2025-05-26,1.3.1.1,David Kim,"David Kim",0,"Build reusable templates for landing, product, and resource pages.",medium,false
1.3.1.3,Accessibility pass,task,not_started,6,2025-05-27,2025-06-03,1.3.1.2,Emma Singh,"Emma Singh,David Kim",0,"Run keyboard and screen reader checks before QA.",low,false
1.3.2,Launch Readiness,group2,not_started,36,2025-05-12,2025-06-30,1.3.1.1,Alice Chen,"Alice Chen,Bob Lee,Emma Singh",0,,low,false
1.3.2.1,CMS migration,task,not_started,12,2025-05-12,2025-05-27,1.1.2.2,Emma Singh,"Emma Singh",0,"Prioritise high-traffic pages and redirects.",low,false
1.3.2.2,QA regression,task,not_started,10,2025-06-04,2025-06-17,"1.3.1.3,1.3.2.1",Bob Lee,"Bob Lee,Emma Singh",0,"Regression suite covers forms, SEO metadata, and analytics.",low,false
1.3.2.3,Website launch,task,not_started,1,2025-06-30,2025-06-30,1.3.2.2,Alice Chen,"Alice Chen,David Kim,Emma Singh",0,"Milestone: production launch and monitoring handoff.",critical,true
